City_ID,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2022-07-20 13:54:49,-54.8,-68.3,37.06,87,100,16.11,drizzle
1,Nikolskoye,RU,2022-07-20 13:54:50,59.7035,30.7861,70.88,52,100,12.19,overcast clouds
2,Mar Del Plata,AR,2022-07-20 13:54:50,-38.0023,-57.5575,54.09,83,40,13.0,mist
3,Tasiilaq,GL,2022-07-20 13:54:50,65.6145,-37.6368,40.62,82,92,4.32,overcast clouds
4,Vaini,TO,2022-07-20 13:54:51,-21.2,-175.2,73.56,88,40,8.05,scattered clouds
5,Mogadishu,SO,2022-07-20 13:50:48,2.0371,45.3438,82.27,69,75,16.11,broken clouds
6,Bredasdorp,ZA,2022-07-20 13:54:51,-34.5322,20.0403,58.21,56,44,4.43,scattered clouds
7,Cape Town,ZA,2022-07-20 13:54:51,-33.9258,18.4232,61.11,53,20,12.66,few clouds
8,Kazanskaya,RU,2022-07-20 13:54:52,45.4106,40.4361,79.83,45,9,8.55,clear sky
9,Hobart,AU,2022-07-20 13:54:52,-42.8794,147.3294,38.05,90,20,5.75,few clouds
10,Nelson Bay,AU,2022-07-20 13:54:52,-32.7167,152.15,60.01,83,35,7.0,scattered clouds
11,Khatanga,RU,2022-07-20 13:54:53,71.9667,102.5,51.49,47,100,19.42,overcast clouds
12,Dubbo,AU,2022-07-20 13:50:47,-32.25,148.6167,51.93,71,40,12.66,light rain
13,Hilo,US,2022-07-20 13:54:53,19.7297,-155.09,72.28,85,4,3.0,clear sky
14,Northam,GB,2022-07-20 13:54:53,51.0333,-4.2167,65.39,84,98,15.84,overcast clouds
15,Vao,NC,2022-07-20 13:54:54,-22.6667,167.4833,73.94,89,100,8.46,overcast clouds
16,Dongsheng,CN,2022-07-20 13:54:54,39.8161,109.9776,70.88,47,48,9.86,scattered clouds
17,Punta Arenas,CL,2022-07-20 13:52:24,-53.15,-70.9167,37.42,75,75,32.21,light rain
18,Rikitea,PF,2022-07-20 13:54:54,-23.1203,-134.9692,72.91,76,6,2.21,clear sky
19,Chabua,IN,2022-07-20 13:54:55,27.4825,95.1736,78.55,93,100,3.78,overcast clouds
20,Port Elizabeth,ZA,2022-07-20 13:52:17,-33.918,25.5701,60.1,87,100,10.36,overcast clouds
21,Igrim,RU,2022-07-20 13:54:55,63.1906,64.4162,71.33,45,61,12.08,broken clouds
22,Avarua,CK,2022-07-20 13:50:14,-21.2078,-159.775,73.45,73,75,12.66,broken clouds
23,Ajaccio,FR,2022-07-20 13:54:56,42.0,8.9167,84.25,58,0,11.5,clear sky
24,Haifa,IL,2022-07-20 13:51:10,32.8156,34.9892,87.21,69,0,5.01,clear sky
25,Monclova,MX,2022-07-20 13:54:56,26.9,-101.4167,87.06,44,23,1.01,few clouds
26,Mataura,NZ,2022-07-20 13:54:56,-46.1927,168.8643,41.49,98,14,0.92,few clouds
27,Jamestown,US,2022-07-20 13:54:57,42.097,-79.2353,82.94,78,0,9.22,clear sky
28,Provideniya,RU,2022-07-20 13:54:57,64.3833,-173.3,40.46,94,93,14.47,overcast clouds
29,Carnarvon,AU,2022-07-20 13:54:57,-24.8667,113.6333,71.13,71,0,15.12,clear sky
30,Pampa,US,2022-07-20 13:54:58,35.5362,-100.9599,86.58,32,40,23.02,scattered clouds
31,New Norfolk,AU,2022-07-20 13:54:58,-42.7826,147.0587,37.71,86,2,2.39,clear sky
32,Sioux Lookout,CA,2022-07-20 13:54:58,50.1001,-91.917,66.27,94,100,9.22,overcast clouds
33,Kaputa,ZM,2022-07-20 13:54:59,-8.4689,29.6619,82.44,34,17,4.43,few clouds
34,Airai,TL,2022-07-20 13:54:59,-8.9266,125.4092,59.36,93,82,3.11,broken clouds
35,Cururupu,BR,2022-07-20 13:54:59,-1.8283,-44.8683,85.53,63,14,3.15,few clouds
36,Yellowknife,CA,2022-07-20 13:55:00,62.456,-114.3525,59.56,82,100,17.27,overcast clouds
37,Vestmannaeyjar,IS,2022-07-20 13:55:00,63.4427,-20.2734,58.19,77,0,13.8,clear sky
38,Glasgow,GB,2022-07-20 13:51:49,55.8652,-4.2576,72.16,71,20,14.97,few clouds
39,Mehamn,NO,2022-07-20 13:55:00,71.0357,27.8492,55.35,94,100,3.44,light rain
40,Kanye,BW,2022-07-20 13:55:01,-24.9667,25.3327,62.26,39,94,9.42,overcast clouds
41,Karachi,PK,2022-07-20 13:50:25,24.9056,67.0822,85.82,79,40,17.27,scattered clouds
42,Cabo San Lucas,MX,2022-07-20 13:50:59,22.8909,-109.9124,85.51,61,59,7.45,broken clouds
43,Yishui,CN,2022-07-20 13:55:01,35.7847,118.6281,69.13,93,76,4.23,broken clouds
44,Broken Hill,AU,2022-07-20 13:55:02,-31.95,141.4333,44.47,53,9,10.49,clear sky
45,Tuktoyaktuk,CA,2022-07-20 13:55:02,69.4541,-133.0374,53.6,100,75,5.75,broken clouds
46,Kaitangata,NZ,2022-07-20 13:55:02,-46.2817,169.8464,40.91,82,73,4.36,broken clouds
47,Chuy,UY,2022-07-20 13:55:03,-33.6971,-53.4616,56.08,80,0,10.13,clear sky
48,Dikson,RU,2022-07-20 13:55:03,73.5069,80.5464,45.77,62,0,22.21,clear sky
49,Gornyatskiy,RU,2022-07-20 13:55:03,48.2915,40.9575,82.42,27,62,10.02,broken clouds
50,Atuona,PF,2022-07-20 13:55:04,-9.8,-139.0333,76.64,79,30,12.91,scattered clouds
51,Hermanus,ZA,2022-07-20 13:55:04,-34.4187,19.2345,59.81,61,3,7.25,clear sky
52,Kieta,PG,2022-07-20 13:55:04,-6.2167,155.6333,78.4,83,100,5.06,overcast clouds
53,Busselton,AU,2022-07-20 13:55:05,-33.65,115.3333,64.2,80,100,13.89,overcast clouds
54,Barrow,US,2022-07-20 13:55:05,71.2906,-156.7887,36.77,94,38,8.75,scattered clouds
55,Thabazimbi,ZA,2022-07-20 13:55:05,-24.5917,27.4116,62.92,53,100,5.03,overcast clouds
56,Evanston,US,2022-07-20 13:54:39,42.0411,-87.6901,82.24,73,0,4.0,clear sky
57,Longyearbyen,SJ,2022-07-20 13:55:06,78.2186,15.6401,51.64,82,75,14.97,broken clouds
58,Kupang,ID,2022-07-20 13:55:06,-10.1667,123.5833,75.29,81,47,13.65,scattered clouds
59,Puerto Ayora,EC,2022-07-20 13:55:07,-0.7393,-90.3518,67.55,99,95,5.01,overcast clouds
60,Ust-Kulom,RU,2022-07-20 13:55:07,61.6864,53.6902,66.36,62,100,3.0,overcast clouds
61,Bluff,NZ,2022-07-20 13:55:07,-46.6,168.3333,41.81,71,76,5.35,broken clouds
62,Ouesso,CG,2022-07-20 13:55:08,1.6136,16.0517,86.41,55,65,1.92,light rain
63,Upernavik,GL,2022-07-20 13:55:08,72.7868,-56.1549,47.23,72,53,4.76,broken clouds
64,Butaritari,KI,2022-07-20 13:55:08,3.0707,172.7902,80.92,82,100,11.65,moderate rain
65,Torbay,CA,2022-07-20 13:55:09,47.6666,-52.7314,70.57,81,75,27.63,broken clouds
66,Young,UY,2022-07-20 13:55:09,-32.6833,-57.6333,58.01,74,0,8.21,clear sky
67,Praya,CV,2022-07-20 13:55:09,14.9215,-23.5087,82.94,69,20,8.05,few clouds
68,Mabaruma,GY,2022-07-20 13:55:09,8.2,-59.7833,78.57,94,100,3.02,overcast clouds
69,Yeppoon,AU,2022-07-20 13:51:06,-23.1333,150.7333,62.38,81,100,16.64,overcast clouds
70,Tuatapere,NZ,2022-07-20 13:55:10,-46.1333,167.6833,41.95,87,100,1.72,overcast clouds
71,Albany,US,2022-07-20 13:53:58,42.6001,-73.9662,83.79,72,8,6.04,clear sky
72,Georgetown,MY,2022-07-20 13:52:27,5.4112,100.3354,84.15,78,20,5.99,few clouds
73,Cherskiy,RU,2022-07-20 13:55:10,68.75,161.3,36.97,86,100,10.96,overcast clouds
74,Atambua,ID,2022-07-20 13:55:11,-9.1061,124.8925,69.85,89,19,4.52,few clouds
75,La Ronge,CA,2022-07-20 13:55:11,55.1001,-105.2842,61.05,59,20,14.97,few clouds
76,Nanortalik,GL,2022-07-20 13:55:12,60.1432,-45.2371,51.19,87,90,14.36,overcast clouds
77,Haverfordwest,GB,2022-07-20 13:55:12,51.8017,-4.9691,65.05,71,94,5.01,overcast clouds
78,Igarka,RU,2022-07-20 13:55:12,67.4667,86.5833,48.97,95,100,6.71,overcast clouds
79,Sinnamary,GF,2022-07-20 13:55:12,5.3833,-52.95,82.56,69,28,6.8,scattered clouds
80,Poum,NC,2022-07-20 13:55:13,-20.2333,164.0167,75.29,89,100,15.35,overcast clouds
81,Lagoa,PT,2022-07-20 13:55:13,39.05,-27.9833,71.82,80,4,7.0,clear sky
82,Geraldton,AU,2022-07-20 13:55:13,-28.7667,114.6,66.61,72,100,10.36,overcast clouds
83,Pevek,RU,2022-07-20 13:55:14,69.7008,170.3133,31.82,92,100,13.15,overcast clouds
84,Fort Morgan,US,2022-07-20 13:55:14,40.2503,-103.8,66.85,55,0,0.0,clear sky
85,Ust-Nera,RU,2022-07-20 13:55:14,64.5667,143.2,58.14,81,95,7.7,overcast clouds
86,Shitkino,RU,2022-07-20 13:55:15,56.3703,98.3543,58.73,84,24,3.0,few clouds
87,College,US,2022-07-20 13:55:15,64.8569,-147.8028,50.29,93,100,1.43,overcast clouds
88,Beringovskiy,RU,2022-07-20 13:55:15,63.05,179.3167,47.35,75,95,19.26,overcast clouds
89,Qaanaaq,GL,2022-07-20 13:55:16,77.484,-69.3632,41.05,80,100,3.74,overcast clouds
90,Saldanha,ZA,2022-07-20 13:55:16,-33.0117,17.9442,60.85,61,0,14.67,clear sky
91,Aban,RU,2022-07-20 13:55:16,56.67,96.06,58.53,89,92,5.82,overcast clouds
92,Araouane,ML,2022-07-20 13:55:17,18.9048,-3.5265,93.99,36,99,13.85,overcast clouds
93,Mahebourg,MU,2022-07-20 13:55:17,-20.4081,57.7,71.89,64,40,16.11,scattered clouds
94,Rurrenabaque,BO,2022-07-20 13:55:17,-14.4413,-67.5278,78.69,83,75,0.0,broken clouds
95,Luderitz,NA,2022-07-20 13:55:18,-26.6481,15.1594,65.12,51,0,22.55,clear sky
96,Havoysund,NO,2022-07-20 13:55:18,70.9963,24.6622,53.83,85,59,14.05,broken clouds
97,Hithadhoo,MV,2022-07-20 13:55:18,-0.6,73.0833,81.1,70,100,1.23,moderate rain
98,Vardo,NO,2022-07-20 13:55:19,70.3705,31.1107,53.58,100,100,8.05,overcast clouds
99,Manzhouli,CN,2022-07-20 13:55:19,49.6,117.4333,67.84,58,18,2.06,few clouds
100,Saint-Philippe,RE,2022-07-20 13:55:19,-21.3585,55.7679,71.22,69,35,17.98,scattered clouds
101,Chimichagua,CO,2022-07-20 13:55:20,9.2578,-73.8123,86.41,61,100,1.88,overcast clouds
102,Ewa Beach,US,2022-07-20 13:55:20,21.3156,-158.0072,76.95,76,60,10.0,broken clouds
103,Haljala,EE,2022-07-20 13:55:21,59.4336,26.2614,69.55,46,44,14.09,scattered clouds
104,Barranca,PE,2022-07-20 13:53:20,-10.75,-77.7667,62.44,77,59,6.26,broken clouds
105,Mouila,GA,2022-07-20 13:55:21,-1.8685,11.0559,84.11,74,75,4.65,broken clouds
106,Lazarev,RU,2022-07-20 13:55:21,52.225,141.5131,58.06,84,100,6.69,overcast clouds
107,Sao Felix Do Xingu,BR,2022-07-20 13:55:22,-6.6447,-51.995,89.74,30,2,5.12,clear sky
108,Kodiak,US,2022-07-20 13:55:22,57.79,-152.4072,50.22,89,100,1.92,overcast clouds
109,Leshukonskoye,RU,2022-07-20 13:55:22,64.8989,45.7622,76.89,38,70,8.66,broken clouds
110,Tezu,IN,2022-07-20 13:55:23,27.9167,96.1667,76.8,97,99,2.89,overcast clouds
111,Ingham,US,2022-07-20 13:55:23,42.6,-84.3833,80.91,75,0,6.91,clear sky
112,Portland,US,2022-07-20 13:51:22,45.5234,-122.6762,66.06,85,0,1.99,clear sky
113,Ludgerovice,CZ,2022-07-20 13:51:23,49.8904,18.2401,94.3,27,13,5.39,few clouds
114,Stornoway,GB,2022-07-20 13:55:24,58.2093,-6.3865,62.92,79,75,11.5,broken clouds
115,Recife,BR,2022-07-20 13:55:24,-8.0539,-34.8811,78.84,73,75,9.22,broken clouds
116,Port Alfred,ZA,2022-07-20 13:55:24,-33.5906,26.891,59.18,94,100,3.33,overcast clouds
117,Bethel,US,2022-07-20 13:55:25,41.3712,-73.414,88.88,70,26,1.99,scattered clouds
118,Ust-Tsilma,RU,2022-07-20 13:55:25,65.441,52.1498,71.53,50,96,3.2,overcast clouds
119,Come,BJ,2022-07-20 13:55:25,6.4076,1.882,79.34,62,90,10.29,overcast clouds
120,Sao Joao Da Barra,BR,2022-07-20 13:55:26,-21.6403,-41.0511,75.29,74,56,2.82,broken clouds
121,Athmallik,IN,2022-07-20 13:55:26,20.7219,84.5348,81.01,86,98,2.64,overcast clouds
122,Arraial Do Cabo,BR,2022-07-20 13:55:26,-22.9661,-42.0278,73.36,83,75,9.22,broken clouds
123,Olafsvik,IS,2022-07-20 13:55:26,64.8945,-23.7142,52.12,77,10,6.55,clear sky
124,San Nicolas,PH,2022-07-20 13:55:27,18.1725,120.5953,83.44,82,22,0.4,few clouds
125,Tiksi,RU,2022-07-20 13:55:27,71.6872,128.8694,34.75,96,99,10.8,overcast clouds
126,Aklavik,CA,2022-07-20 13:55:27,68.2191,-135.0107,57.2,77,75,3.44,broken clouds
127,Iqaluit,CA,2022-07-20 13:55:28,63.7506,-68.5145,42.53,100,100,2.3,overcast clouds
128,Fairbanks,US,2022-07-20 13:51:31,64.8378,-147.7164,50.31,93,75,0.0,broken clouds
129,Coquimbo,CL,2022-07-20 13:55:28,-29.9533,-71.3436,49.73,100,100,4.61,haze
130,Ribeira Grande,PT,2022-07-20 13:55:28,38.5167,-28.7,77.4,73,20,9.22,few clouds
131,Corinto,GR,2022-07-20 13:55:29,37.9407,22.9573,89.42,36,0,1.01,clear sky
132,Nuuk,GL,2022-07-20 13:51:45,64.1835,-51.7216,47.8,82,100,1.54,overcast clouds
133,Aleksandrov Gay,RU,2022-07-20 13:55:29,50.147,48.5704,81.55,25,8,11.77,clear sky
134,Wenling,CN,2022-07-20 13:55:30,28.3669,121.36,79.81,93,99,10.13,overcast clouds
135,Sao Filipe,CV,2022-07-20 13:55:30,14.8961,-24.4956,77.83,83,86,2.75,overcast clouds
136,Yeniseysk,RU,2022-07-20 13:55:30,58.4497,92.1703,59.09,93,97,4.05,light rain
137,Cap Malheureux,MU,2022-07-20 13:55:30,-19.9842,57.6142,71.47,62,86,13.0,overcast clouds
138,East London,ZA,2022-07-20 13:55:31,-33.0153,27.9116,59.94,88,75,6.91,broken clouds
139,Opuwo,NA,2022-07-20 13:55:31,-18.0607,13.84,77.94,16,0,5.32,clear sky
140,Saint-Joseph,RE,2022-07-20 13:55:32,-21.3667,55.6167,70.21,68,26,17.34,scattered clouds
141,Ust-Maya,RU,2022-07-20 13:55:32,60.4167,134.5333,68.83,76,70,4.25,broken clouds
142,Pedernales,DO,2022-07-20 13:55:32,18.0384,-71.744,86.23,53,0,4.45,clear sky
143,Kapaa,US,2022-07-20 13:55:33,22.0752,-159.319,74.19,93,30,10.49,scattered clouds
144,Souillac,MU,2022-07-20 13:55:33,-20.5167,57.5167,71.98,64,40,16.11,scattered clouds
145,Mount Gambier,AU,2022-07-20 13:55:33,-37.8333,140.7667,40.15,90,0,5.48,clear sky
146,Haines Junction,CA,2022-07-20 13:55:33,60.7522,-137.5108,48.15,76,100,2.3,overcast clouds
147,Mlalo,TZ,2022-07-20 13:55:34,-4.9333,38.9333,76.23,64,10,12.06,light rain
148,Chicama,PE,2022-07-20 13:55:34,-7.8447,-79.1469,59.54,75,44,5.01,scattered clouds
149,Akyab,MM,2022-07-20 13:55:34,20.15,92.9,83.48,81,57,5.93,broken clouds
150,Bambous Virieux,MU,2022-07-20 13:55:35,-20.3428,57.7575,71.85,64,40,16.11,scattered clouds
151,Te Anau,NZ,2022-07-20 13:55:35,-45.4167,167.7167,39.94,96,93,3.96,overcast clouds
152,Castro,BR,2022-07-20 13:55:35,-24.7911,-50.0119,61.09,87,97,5.55,overcast clouds
153,Lebu,CL,2022-07-20 13:55:36,-37.6167,-73.65,51.58,97,100,10.78,overcast clouds
154,Karaton,ID,2022-07-20 13:55:36,-6.3424,106.1045,73.87,95,25,3.38,scattered clouds
155,Molochnoye,RU,2022-07-20 13:55:36,59.2917,39.6787,54.88,98,100,9.78,overcast clouds
156,Hasaki,JP,2022-07-20 13:55:37,35.7333,140.8333,77.4,80,100,6.06,overcast clouds
157,Neiafu,TO,2022-07-20 13:55:37,-18.65,-173.9833,77.68,73,40,10.36,scattered clouds
158,Vostok,RU,2022-07-20 13:55:37,46.4856,135.8833,61.43,96,90,3.18,overcast clouds
159,Imbituba,BR,2022-07-20 13:52:27,-28.24,-48.6703,65.08,89,0,13.0,clear sky
160,Contamana,PE,2022-07-20 13:55:38,-7.3333,-75.0167,77.61,79,60,2.51,broken clouds
161,Big Spring,US,2022-07-20 13:55:38,32.2504,-101.4787,82.24,54,0,8.05,clear sky
162,Kanchipuram,IN,2022-07-20 13:55:38,12.8333,79.7167,87.64,63,100,8.59,overcast clouds
163,Sovetskiy,RU,2022-07-20 13:55:39,61.3614,63.5842,66.65,73,98,5.82,overcast clouds
164,Kapit,MY,2022-07-20 13:55:39,2.0167,112.9333,76.64,87,45,0.45,scattered clouds
165,Muromtsevo,RU,2022-07-20 13:55:40,56.3724,75.2418,63.95,93,96,4.12,light rain
166,Eureka,US,2022-07-20 13:55:40,40.8021,-124.1637,55.67,83,68,2.21,broken clouds
167,Rehoboth,NA,2022-07-20 13:55:40,-23.3167,17.0833,71.85,16,0,5.17,clear sky
168,Keuruu,FI,2022-07-20 13:55:41,62.2667,24.7,72.81,37,87,8.95,overcast clouds
169,Faanui,PF,2022-07-20 13:55:41,-16.4833,-151.75,77.29,65,0,6.64,clear sky
170,Sambava,MG,2022-07-20 13:55:41,-14.2667,50.1667,70.97,83,38,16.13,light rain
171,Grindavik,IS,2022-07-20 13:55:41,63.8424,-22.4338,57.67,67,20,12.66,few clouds
172,Azare,NG,2022-07-20 13:55:42,11.6765,10.1948,74.05,84,100,2.28,moderate rain
173,Santa Isabel Do Rio Negro,BR,2022-07-20 13:55:42,-0.4139,-65.0192,72.16,99,100,3.51,overcast clouds
174,Codrington,AU,2022-07-20 13:55:42,-38.2667,141.9667,40.35,88,0,7.67,clear sky
175,Cidreira,BR,2022-07-20 13:55:43,-30.1811,-50.2056,63.14,79,0,12.44,clear sky
176,Zhezkazgan,KZ,2022-07-20 13:55:43,47.8043,67.7144,98.58,14,75,13.42,broken clouds
177,Port Macquarie,AU,2022-07-20 13:55:43,-31.4333,152.9167,51.89,68,99,6.24,overcast clouds
178,El Terrero,HN,2022-07-20 13:55:44,14.0667,-87.0667,63.45,88,40,4.61,scattered clouds
179,Port Moresby,PG,2022-07-20 13:55:44,-9.4431,147.1797,78.22,89,75,3.44,broken clouds
180,Coihaique,CL,2022-07-20 13:52:01,-45.5752,-72.0662,36.21,80,100,6.91,snow
181,Kavaratti,IN,2022-07-20 13:55:45,10.5669,72.642,81.1,82,100,20.33,light rain
182,San Cristobal,VE,2022-07-20 13:54:36,7.7669,-72.225,71.78,69,46,7.05,scattered clouds
183,Necochea,AR,2022-07-20 13:51:33,-38.5473,-58.7368,55.53,59,2,20.18,clear sky
184,Kahului,US,2022-07-20 13:51:59,20.8947,-156.47,73.42,73,0,13.8,clear sky
185,Pangnirtung,CA,2022-07-20 13:55:45,66.1451,-65.7125,46.4,87,100,3.44,light rain
186,Ugoofaaru,MV,2022-07-20 13:55:46,5.6667,73.0,81.14,78,100,14.58,heavy intensity rain
187,Qaqortoq,GL,2022-07-20 13:55:46,60.7167,-46.0333,48.67,94,100,6.15,overcast clouds
188,Kavieng,PG,2022-07-20 13:55:46,-2.5744,150.7967,81.72,78,100,11.12,overcast clouds
189,Fernie,CA,2022-07-20 13:55:46,49.5,-115.0687,53.69,55,3,1.36,clear sky
190,Nador,MA,2022-07-20 13:55:47,35.174,-2.9287,91.47,74,20,8.05,few clouds
191,Chanasma,IN,2022-07-20 13:55:47,23.7167,72.1167,86.72,66,100,15.14,overcast clouds
192,Acarau,BR,2022-07-20 13:51:12,-2.8856,-40.12,85.93,55,11,10.11,few clouds
193,Turbat,PK,2022-07-20 13:55:47,26.0023,63.044,89.47,65,86,16.49,overcast clouds
194,Berzence,HU,2022-07-20 13:55:48,46.2091,17.1481,96.51,14,0,5.46,clear sky
195,Dingle,PH,2022-07-20 13:55:48,10.9995,122.6711,78.53,87,83,3.22,broken clouds
196,Morant Bay,JM,2022-07-20 13:55:48,17.8815,-76.4093,85.71,70,2,11.05,clear sky
197,Lockhart,US,2022-07-20 13:55:49,28.6194,-81.4426,89.1,74,3,1.01,clear sky
198,Manadhoo,MV,2022-07-20 13:55:49,5.7667,73.3833,80.82,78,100,14.09,heavy intensity rain
199,Vigrestad,NO,2022-07-20 13:55:49,58.5667,5.7,74.97,73,100,11.18,overcast clouds
200,Fortuna,US,2022-07-20 13:55:50,40.5982,-124.1573,54.66,91,48,3.06,scattered clouds
201,Maceio,BR,2022-07-20 13:55:50,-9.6658,-35.7353,80.04,73,75,6.91,broken clouds
202,Karimpur,IN,2022-07-20 13:55:50,23.9667,88.6167,85.87,70,100,10.4,light rain
203,Masaka,UG,2022-07-20 13:55:51,-0.3338,31.7341,76.77,43,18,13.02,few clouds
204,Ponta Do Sol,PT,2022-07-20 13:55:51,32.6667,-17.1,83.71,65,0,2.98,clear sky
205,Ostrovnoy,RU,2022-07-20 13:55:51,68.0531,39.5131,53.94,81,9,9.33,clear sky
206,Bud,US,2022-07-20 13:55:52,39.447,-86.1758,82.92,88,7,11.48,clear sky
207,Tahta,EG,2022-07-20 13:55:52,26.7693,31.5021,103.32,13,0,17.27,clear sky
208,Alta Floresta,BR,2022-07-20 13:55:52,-9.8756,-56.0861,85.82,42,0,9.22,clear sky
209,Alto Parana,BR,2022-07-20 13:55:53,-23.1289,-52.3189,76.33,56,0,15.59,clear sky
210,Dalbandin,PK,2022-07-20 13:55:53,28.8947,64.4101,104.45,16,6,9.62,clear sky
211,Sitka,US,2022-07-20 13:55:53,57.0531,-135.33,53.49,82,100,0.0,overcast clouds
212,Bam,IR,2022-07-20 13:55:53,29.106,58.357,100.56,8,6,12.62,clear sky
213,Jiaojiang,CN,2022-07-20 13:55:54,28.6803,121.4428,79.52,93,100,4.7,overcast clouds
214,Yar-Sale,RU,2022-07-20 13:55:54,66.8333,70.8333,65.53,43,20,13.58,few clouds
215,Kushima,JP,2022-07-20 13:55:54,31.4583,131.2333,81.0,89,100,7.49,moderate rain
216,Tilichiki,RU,2022-07-20 13:55:55,60.4667,166.1,46.49,60,7,6.51,clear sky
217,Ilulissat,GL,2022-07-20 13:55:55,69.2167,-51.1,47.53,56,100,5.7,overcast clouds
218,Homer,US,2022-07-20 13:55:55,59.6425,-151.5483,51.76,92,100,5.01,mist
219,Barahona,DO,2022-07-20 13:55:56,18.2085,-71.1008,85.82,79,20,9.22,few clouds
220,Fethiye,TR,2022-07-20 13:55:56,36.6217,29.1164,85.87,41,0,5.88,clear sky
221,Ballinrobe,IE,2022-07-20 13:55:56,53.6333,-9.2333,62.71,62,99,12.39,overcast clouds
222,Andilamena,MG,2022-07-20 13:55:57,-17.0167,48.5833,57.85,87,96,12.88,overcast clouds
